Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Afghanistan,AFG,..,..,..,..,59.3,..,..,..,..,..,..,..,..,40.9,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Albania,ALB,39.2,..,..,..,..,27,..,..,..,23.1,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Algeria,DZA,23.6,..,23.3,..,..,15.9,..,..,..,..,..,..,11.7,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Angola,AGO,..,..,..,..,..,..,..,29.2,..,..,..,..,..,..,..,..,37.6,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Argentina,ARG,..,..,..,..,..,8.2,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Armenia,ARM,17.7,..,..,..,..,18.2,..,..,..,..,20.8,..,..,..,..,..,9.4,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Australia,AUS,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Azerbaijan,AZE,24.1,18,..,..,..,..,26.8,..,..,..,..,16.4,..,18,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bangladesh,BGD,50.8,53.2,51.4,47.8,50.5,45.9,45.1,43.2,..,..,..,41.4,42,38.7,36.1,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..
